danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.548,0.769,-4.853,0.0312,0.0307,5.53e-06,0.0867,0.388,135.712,country
0.58,0.953,-3.856,0.0614,0.00261,0.0,0.218,0.673,103.041,country
0.591,0.45,-6.369,0.0266,0.671,2.23e-05,0.159,0.344,135.893,country
0.542,0.957,-5.009,0.045,0.00734,1.96e-05,0.185,0.752,158.0,country
0.451,0.669,-9.033,0.0651,0.0267,0.0,0.153,0.523,169.632,rock
0.751,0.783,-3.724,0.0859,0.00379,0.0,0.036,0.816,119.975,pop
0.638,0.816,-5.503,0.0308,0.00149,0.00115,0.195,0.386,112.014,edm
0.638,0.816,-5.503,0.0308,0.00149,0.00115,0.195,0.386,112.014,house
0.638,0.816,-5.503,0.0308,0.00149,0.00115,0.195,0.386,112.014,pop
0.638,0.816,-5.503,0.0308,0.00149,0.00115,0.195,0.386,112.014,trance
0.685,0.474,-9.105,0.0313,0.779,1.23e-06,0.149,0.36,79.991,pop
0.713,0.76,-4.294,0.0563,0.0087,0.0,0.359,0.769,124.98,pop
0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,pop
0.706,0.89,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011,pop
0.596,0.54,-6.723,0.11,0.00398,0.0,0.127,0.579,188.003,pop
0.416,0.827,-5.282,0.199,0.0654,0.00151,0.0821,0.55,127.909,pop
0.555,0.931,-2.969,0.0367,0.016,0.0,0.405,0.723,132.085,country
0.882,0.613,-6.691,0.0476,0.000433,0.000361,0.0744,0.46,104.957,pop
0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,edm
0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,pop
0.72,0.791,-4.689,0.124,0.0384,0.0,0.157,0.756,102.071,pop
0.659,0.911,-2.28,0.0786,0.154,0.000304,0.191,0.576,91.999,pop
0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949,edm
0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949,house
0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949,pop
0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,latin
0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,pop
0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,reggaeton
0.654,0.797,-5.278,0.182,0.0216,1.04e-05,0.131,0.61,102.998,pop
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,pop
0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,latin
0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,pop
0.391,0.732,-8.188,0.0295,0.00471,0.121,0.0979,0.622,100.354,rock
0.686,0.837,-7.839,0.0766,0.0198,0.0,0.19,0.45,96.688,rock
0.699,0.579,-6.504,0.0416,0.267,0.00602,0.452,0.128,109.948,rock
0.643,0.726,-9.314,0.0255,0.000772,0.00969,0.07,0.925,100.687,grunge
0.643,0.726,-9.314,0.0255,0.000772,0.00969,0.07,0.925,100.687,rock
0.509,0.584,-4.907,0.057,0.0368,9.96e-05,0.384,0.685,170.411,rock
0.309,0.649,-8.994,0.035,0.0158,0.00595,0.367,0.313,166.915,rock
0.49,0.976,-6.597,0.0796,0.00431,0.0173,0.366,0.389,100.772,punk
0.565,0.928,-12.448,0.0648,0.35,7.05e-05,0.128,0.121,120.297,punk
0.161,0.836,-9.324,0.0519,0.224,0.0802,0.0926,0.487,193.782,punk
0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,pop
0.421,0.791,-4.998,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,pop
0.522,0.889,-4.137,0.0461,0.00328,0.0,0.345,0.852,144.499,rock
0.674,0.593,-6.47,0.0582,0.201,0.000529,0.209,0.464,116.995,pop
0.765,0.398,-8.993,0.037,0.0681,8.48e-06,0.14,0.348,95.976,pop
0.651,0.377,-10.404,0.0811,0.427,3.68e-05,0.0936,0.401,123.999,pop
0.447,0.537,-8.574,0.0544,0.348,0.0,0.0667,0.362,123.573,pop
0.625,0.434,-8.764,0.0391,0.566,0.0202,0.119,0.166,116.8,pop
0.55,0.348,-10.682,0.047,0.78,0.0,0.0999,0.15,65.973,pop
0.677,0.842,-5.204,0.294,0.0345,0.0742,0.153,0.543,110.036,edm
0.581,0.684,-4.962,0.0429,0.0179,1.93e-05,0.0849,0.0397,129.966,pop
0.745,0.356,-10.425,0.0941,0.172,0.00943,0.123,0.607,160.033,pop
0.785,0.543,-8.134,0.0683,0.721,1.78e-05,0.0477,0.722,133.961,pop
0.569,0.668,-6.109,0.0266,0.134,0.00408,0.0855,0.714,83.015,rock
0.614,0.966,-3.831,0.138,0.00104,3.57e-05,0.213,0.442,123.998,edm
0.614,0.966,-3.831,0.138,0.00104,3.57e-05,0.213,0.442,123.998,house
0.614,0.966,-3.831,0.138,0.00104,3.57e-05,0.213,0.442,123.998,pop
0.426,0.295,-8.337,0.0764,0.637,0.0,0.0941,0.355,174.379,pop
0.494,0.614,-9.29,0.155,0.446,2.23e-05,0.128,0.501,176.248,pop
0.555,0.791,-6.445,0.0513,0.00624,0.0,0.193,0.158,105.088,edm
0.555,0.791,-6.445,0.0513,0.00624,0.0,0.193,0.158,105.088,house
0.555,0.791,-6.445,0.0513,0.00624,0.0,0.193,0.158,105.088,pop
0.503,0.727,-5.456,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,house
0.503,0.727,-5.456,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,pop
0.774,0.626,-4.432,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,pop
0.407,0.808,-4.566,0.0774,0.000174,0.0131,0.436,0.323,136.646,rock
0.527,0.715,-4.934,0.0437,0.000237,0.0034,0.101,0.3,155.102,rock
0.405,0.751,-3.608,0.0392,0.377,0.0,0.0958,0.762,120.807,rock
0.365,0.804,-5.922,0.105,0.104,6.58e-05,0.15,0.577,171.597,rock
0.583,0.9,-6.085,0.0458,0.0319,3.84e-06,0.151,0.867,147.01,rock
0.41,0.803,-5.363,0.0623,0.239,0.0,0.103,0.814,153.315,rock
0.567,0.865,-5.104,0.0393,0.00606,4.58e-05,0.218,0.686,105.992,rock
0.468,0.692,-4.015,0.0295,0.0202,2.39e-06,0.523,0.561,78.009,rock
0.436,0.85,-4.86,0.0617,0.000861,0.74,0.128,0.537,152.644,rock
0.313,0.635,-4.676,0.0431,0.0229,0.0,0.129,0.224,114.776,pop
0.564,0.923,-3.843,0.0325,0.00147,0.0,0.277,0.587,141.991,pop
0.533,0.376,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,rock
0.448,0.815,-5.951,0.0361,0.0867,0.686,0.316,0.217,124.808,rock
0.547,0.922,-3.893,0.0738,0.014,0.000117,0.0598,0.366,112.66,rock
0.426,0.949,-3.231,0.0631,0.01,0.00434,0.377,0.339,122.241,rock
0.274,0.717,-5.435,0.0382,0.0111,0.0,0.123,0.0931,185.17,punk
0.412,0.226,-12.377,0.0323,0.895,7.74e-05,0.0871,0.524,168.139,punk
0.443,0.403,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,rock
0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,rock
0.489,0.892,-4.757,0.0786,0.000369,0.00293,0.411,0.598,137.93,rock
0.56,0.936,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96,rock
0.386,0.607,-7.7,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,rock
0.49,0.715,-5.549,0.0476,0.386,0.0,0.311,0.866,130.726,rock
0.416,0.563,-8.724,0.0298,0.207,0.0,0.343,0.9,77.56,rock
0.388,0.338,-10.054,0.0329,0.652,3.73e-06,0.248,0.478,177.765,rock
0.492,0.81,-5.315,0.0847,0.0416,0.00379,0.117,0.245,149.954,pop
0.641,0.502,-7.334,0.0251,0.156,4.35e-06,0.311,0.326,105.634,rock
0.511,0.617,-5.883,0.0313,0.00223,0.0,0.201,0.404,90.951,rock
0.663,0.546,-5.234,0.0269,0.0322,0.000572,0.107,0.656,88.171,rock
0.858,0.396,-10.777,0.0515,0.00137,1.08e-05,0.119,0.831,89.108,reggae
0.332,0.179,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529,rock
0.377,0.734,-3.645,0.0334,0.0985,0.0,0.0942,0.393,169.988,rock
0.534,0.725,-7.576,0.0332,0.188,0.0,0.0994,0.763,95.003,rock
0.51,0.488,-10.304,0.0304,0.256,0.0,0.11,0.649,125.683,rock
0.407,0.834,-9.224,0.208,0.0734,0.00021,0.241,0.71,121.38,rock
0.622,0.392,-6.269,0.028,0.692,0.0,0.123,0.547,120.096,pop
0.598,0.756,-5.775,0.0394,0.00106,0.088,0.414,0.611,135.048,rock
0.545,0.458,-8.273,0.0583,0.38,0.0,0.152,0.343,84.848,pop
0.404,0.877,-4.319,0.037,0.0241,7.89e-06,0.166,0.68,179.885,rock
0.71,0.847,-3.009,0.0892,0.0289,0.00033,0.0613,0.65,119.944,rock
0.675,0.448,-13.175,0.0389,0.541,0.0135,0.126,0.441,101.344,country
0.675,0.448,-13.175,0.0389,0.541,0.0135,0.126,0.441,101.344,singer-songwriter
0.532,0.883,-2.743,0.0352,0.0951,0.0,0.304,0.7,99.995,country
0.595,0.653,-4.935,0.0265,0.246,0.0,0.264,0.542,128.93,country
0.579,0.801,-7.454,0.0449,0.121,7.58e-05,0.0821,0.972,174.755,country
0.667,0.502,-11.355,0.0406,0.331,0.000477,0.241,0.719,101.598,country
0.731,0.465,-8.133,0.03,0.386,0.0,0.0854,0.519,120.877,country
0.716,0.604,-9.887,0.0303,0.418,5.66e-05,0.065,0.644,102.666,country
